installer,opcode,handler,engine_va,patch_len,handler_prior_va,handler_rva,handler_current_va
FUN_52dc32900,E9_jmp,&LAB_52d881d0,0x00619445,5,0x52D881D0,0x009CA190,0x78E4A190
FUN_52dc32900,E9_jmp,&LAB_52d881c0,0x00777489,5,0x52D881C0,0x009CA180,0x78E4A180
FUN_52dc32900,E9_jmp,&LAB_52d881b0,0x00773A9D,5,0x52D881B0,0x009CA170,0x78E4A170
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077624D,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88190,0x00776348,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88190,0x0077A029,5,0x52D88190,0x009CA150,0x78E4A150
FUN_52dc32400,E8_call,&LAB_52d88180,0x00777350,5,0x52D88180,0x009CA140,0x78E4A140
FUN_52dc32400,E8_call,&LAB_52d88180,0x00787497,5,0x52D88180,0x009CA140,0x78E4A140
FUN_52dc32900,E9_jmp,&LAB_52d881a0,0x00719F5C,6,0x52D881A0,0x009CA160,0x78E4A160
FUN_52dc32900,E9_jmp,&LAB_52d884f0,0x00542C6E,11,0x52D884F0,0x009CA4B0,0x78E4A4B0
FUN_52dc32900,E9_jmp,&LAB_52d884d0,0x00542B1A,11,0x52D884D0,0x009CA490,0x78E4A490
FUN_52dc32400,E8_call,&LAB_52d87e50,0x00643E9B,5,0x52D87E50,0x009C9E10,0x78E49E10
FUN_52dc32900,E9_jmp,&LAB_52d884a0,0x006EE19C,30,0x52D884A0,0x009CA460,0x78E4A460
FUN_52dc32900,E9_jmp,&LAB_52d88470,0x006EDD29,30,0x52D88470,0x009CA430,0x78E4A430
FUN_52dc32900,E9_jmp,&LAB_52d88170,0x0071E25C,8,0x52D88170,0x009CA130,0x78E4A130
FUN_52dc32900,E9_jmp,&LAB_52d88150,0x00720D9D,10,0x52D88150,0x009CA110,0x78E4A110
FUN_52dc32900,E9_jmp,&LAB_52d88140,0x007206B4,5,0x52D88140,0x009CA100,0x78E4A100
FUN_52dc32900,E9_jmp,&LAB_52d88120,0x0045B93A,7,0x52D88120,0x009CA0E0,0x78E4A0E0
FUN_52dc32900,E9_jmp,&LAB_52d88040,0x004D42EB,10,0x52D88040,0x009CA000,0x78E4A000
FUN_52dc32900,E9_jmp,&LAB_52d88020,0x004D429E,10,0x52D88020,0x009C9FE0,0x78E49FE0
FUN_52dc32900,E9_jmp,&LAB_52d88000,0x004D42C7,10,0x52D88000,0x009C9FC0,0x78E49FC0
FUN_52dc32400,E8_call,FUN_52d87fe0,0x0043D828,5,0x52D87FE0,0x009C9FA0,0x78E49FA0
FUN_52dc32400,E8_call,FUN_52d87fc0,0x0043F612,5,0x52D87FC0,0x009C9F80,0x78E49F80
FUN_52dc32400,E8_call,FUN_52d87fa0,0x00446BF9,5,0x52D87FA0,0x009C9F60,0x78E49F60
FUN_52dc32400,E8_call,FUN_52d87f80,0x004A154D,5,0x52D87F80,0x009C9F40,0x78E49F40
FUN_52dc32400,E8_call,FUN_52d87f60,0x00561206,5,0x52D87F60,0x009C9F20,0x78E49F20
FUN_52dc32400,E8_call,FUN_52d87df0,0x007BCBDB,5,0x52D87DF0,0x009C9DB0,0x78E49DB0
FUN_52dc32400,E8_call,FUN_52d8bc20,0x004D7939,5,0x52D8BC20,0x009CDBE0,0x78E4DBE0
FUN_52dc32900,E9_jmp,&LAB_52d8bc00,0x004D78ED,10,0x52D8BC00,0x009CDBC0,0x78E4DBC0
FUN_52dc32400,E8_call,FUN_52d8ba30,0x004D7947,5,0x52D8BA30,0x009CD9F0,0x78E4D9F0
FUN_52dc32900,E9_jmp,&LAB_52d8ba10,0x004D790A,5,0x52D8BA10,0x009CD9D0,0x78E4D9D0
FUN_52dc32400,E8_call,FUN_52d8c980,0x006D794D,5,0x52D8C980,0x009CE940,0x78E4E940
FUN_52dc32400,E8_call,FUN_52d8cb90,0x0073FF92,5,0x52D8CB90,0x009CEB50,0x78E4EB50
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006DAA37,5,0x52D8CCA0,0x009CEC60,0x78E4EC60
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006D79EE,5,0x52D8CCA0,0x009CEC60,0x78E4EC60
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006DA9A4,5,0x52D8CCA0,0x009CEC60,0x78E4EC60
FUN_52dc32400,E8_call,FUN_52d8cca0,0x006D7AB6,5,0x52D8CCA0,0x009CEC60,0x78E4EC60
FUN_52dc32400,E8_call,FUN_52d8cc60,0x006D78BD,5,0x52D8CC60,0x009CEC20,0x78E4EC20
FUN_52dc32400,E8_call,FUN_52d8cc60,0x006DA5D0,5,0x52D8CC60,0x009CEC20,0x78E4EC20
FUN_52dc32900,E9_jmp,FUN_52d8d050,0x006C8DB4,7,0x52D8D050,0x009CF010,0x78E4F010
FUN_52dc32900,E9_jmp,&LAB_52d8cff0,0x006C7925,11,0x52D8CFF0,0x009CEFB0,0x78E4EFB0
FUN_52dc32900,E9_jmp,&LAB_52d8cfe0,0x006C7800,11,0x52D8CFE0,0x009CEFA0,0x78E4EFA0
FUN_52dc32400,E8_call,&LAB_52d8e5f0,0x00776150,5,0x52D8E5F0,0x009D05B0,0x78E505B0
FUN_52dc32400,E8_call,&LAB_52d8e530,0x00775F91,5,0x52D8E530,0x009D04F0,0x78E504F0
FUN_52dc32900,E9_jmp,&LAB_52d99a70,0x0068EDAC,6,0x52D99A70,0x009DBA30,0x78E5BA30
FUN_52dc32900,E9_jmp,&LAB_52d9a010,0x0080E6EF,7,0x52D9A010,0x009DBFD0,0x78E5BFD0
FUN_52dc32400,E8_call,&LAB_52d99f90,0x006B9CAB,5,0x52D99F90,0x009DBF50,0x78E5BF50
FUN_52dc32900,E9_jmp,&LAB_52d99ee0,0x006B9F80,5,0x52D99EE0,0x009DBEA0,0x78E5BEA0
FUN_52dc32400,E8_call,FUN_52d99e60,0x0080E5D6,5,0x52D99E60,0x009DBE20,0x78E5BE20
FUN_52dc32900,E9_jmp,&LAB_52d99e40,0x0080E20E,5,0x52D99E40,0x009DBE00,0x78E5BE00
FUN_52dc32900,E9_jmp,&LAB_52d99d40,0x0080E9A4,8,0x52D99D40,0x009DBD00,0x78E5BD00
FUN_52dc32900,E9_jmp,&LAB_52d99d30,0x0080E0C7,5,0x52D99D30,0x009DBCF0,0x78E5BCF0
FUN_52dc32900,E9_jmp,&LAB_52d99cf0,0x0080E412,7,0x52D99CF0,0x009DBCB0,0x78E5BCB0
FUN_52dc32400,E8_call,&LAB_52d9af80,0x005D776C,6,0x52D9AF80,0x009DCF40,0x78E5CF40
FUN_52dc32400,E8_call,FUN_52d9b0a0,0x005E4836,5,0x52D9B0A0,0x009DD060,0x78E5D060
FUN_52dc32900,E9_jmp,&LAB_52d9af50,0x005E4853,18,0x52D9AF50,0x009DCF10,0x78E5CF10
FUN_52dc32900,E9_jmp,&LAB_52d9af30,0x0086DA64,5,0x52D9AF30,0x009DCEF0,0x78E5CEF0
FUN_52dc32900,E9_jmp,&LAB_52d9abd0,0x005D7B9E,5,0x52D9ABD0,0x009DCB90,0x78E5CB90
FUN_52dc32900,E9_jmp,&LAB_52d9abb0,0x0086DB9E,13,0x52D9ABB0,0x009DCB70,0x78E5CB70
FUN_52dc32900,E9_jmp,&LAB_52d9a880,0x005E58A4,8,0x52D9A880,0x009DC840,0x78E5C840
FUN_52dc32900,E9_jmp,&LAB_52d9a860,0x005E593F,11,0x52D9A860,0x009DC820,0x78E5C820
FUN_52dc32900,E9_jmp,&LAB_52d9a6d0,0x0086DAEF,5,0x52D9A6D0,0x009DC690,0x78E5C690
FUN_52dc32900,E9_jmp,&LAB_52d9a550,0x008009F9,8,0x52D9A550,0x009DC510,0x78E5C510
FUN_52dc32400,E8_call,FUN_52d9a660,0x007932DA,5,0x52D9A660,0x009DC620,0x78E5C620
FUN_52dc32400,E8_call,FUN_52d9a4e0,0x006FEBE1,5,0x52D9A4E0,0x009DC4A0,0x78E5C4A0
FUN_52dc32400,E8_call,FUN_52d9a4c0,0x00415AA1,5,0x52D9A4C0,0x009DC480,0x78E5C480
FUN_52dc32900,E9_jmp,&LAB_52d9a470,0x0050DB04,5,0x52D9A470,0x009DC430,0x78E5C430
FUN_52dc32400,E8_call,FUN_52da5130,0x0083AE47,5,0x52DA5130,0x009E70F0,0x78E670F0
FUN_52dc32400,E8_call,FUN_52da54a0,0x005D910E,5,0x52DA54A0,0x009E7460,0x78E67460
FUN_52dc32400,E8_call,FUN_52da54a0,0x005D9F6C,5,0x52DA54A0,0x009E7460,0x78E67460
FUN_52dc32400,E8_call,FUN_52da5bd0,0x007A038B,5,0x52DA5BD0,0x009E7B90,0x78E67B90
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A0A2,5,0x52DA5840,0x009E7800,0x78E67800
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A0EE,5,0x52DA5840,0x009E7800,0x78E67800
FUN_52dc32400,E8_call,&LAB_52da5840,0x0068A151,5,0x52DA5840,0x009E7800,0x78E67800
FUN_52dc32400,E8_call,FUN_52da5e40,0x0076199E,5,0x52DA5E40,0x009E7E00,0x78E67E00
FUN_52dc32900,E9_jmp,&LAB_52da5e20,0x007619A6,13,0x52DA5E20,0x009E7DE0,0x78E67DE0
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A365B,5,0x52DA5F60,0x009E7F20,0x78E67F20
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A369F,5,0x52DA5F60,0x009E7F20,0x78E67F20
FUN_52dc32400,E8_call,FUN_52da5f60,0x007A36DE,5,0x52DA5F60,0x009E7F20,0x78E67F20
FUN_52dc32900,E9_jmp,&LAB_52da5f10,0x007A3BC4,5,0x52DA5F10,0x009E7ED0,0x78E67ED0
FUN_52dc32400,E8_call,FUN_52da6cd0,0x0044074E,5,0x52DA6CD0,0x009E8C90,0x78E68C90
FUN_52dc32900,E9_jmp,&LAB_52da6d70,0x0043EBEF,6,0x52DA6D70,0x009E8D30,0x78E68D30
FUN_52dc32900,E9_jmp,&LAB_52da6d40,0x0043E9BB,5,0x52DA6D40,0x009E8D00,0x78E68D00
FUN_52dc32400,E8_call,FUN_52da6e50,0x0067C4ED,5,0x52DA6E50,0x009E8E10,0x78E68E10
FUN_52dc32900,E9_jmp,&LAB_52da6e30,0x007318DD,6,0x52DA6E30,0x009E8DF0,0x78E68DF0
FUN_52dc32900,E9_jmp,&LAB_52da6e20,0x00731BAF,7,0x52DA6E20,0x009E8DE0,0x78E68DE0
FUN_52dc32900,E9_jmp,&LAB_52da7070,0x0081097E,7,0x52DA7070,0x009E9030,0x78E69030
FUN_52dc32900,E9_jmp,&LAB_52dabba0,0x008049D1,5,0x52DABBA0,0x009EDB60,0x78E6DB60
FUN_52dc32900,E9_jmp,&LAB_52dabad0,0x00802F6C,40,0x52DABAD0,0x009EDA90,0x78E6DA90
FUN_52dc32900,E9_jmp,&LAB_52dabac0,0x00802F07,40,0x52DABAC0,0x009EDA80,0x78E6DA80
FUN_52dc32900,E9_jmp,&LAB_52dabab0,0x00802F3C,40,0x52DABAB0,0x009EDA70,0x78E6DA70
FUN_52dc32400,E8_call,FUN_52db03c0,0x00800347,5,0x52DB03C0,0x009F2380,0x78E72380
FUN_52dc32900,E9_jmp,&LAB_52db0320,0x005C36CC,6,0x52DB0320,0x009F22E0,0x78E722E0
FUN_52dc32900,E9_jmp,0x544228,0x00544174,6,,,
FUN_52dc32900,E9_jmp,&LAB_52db11e0,0x00546C7C,5,0x52DB11E0,0x009F31A0,0x78E731A0
FUN_52dc32400,E8_call,FUN_52db2240,0x005474D4,5,0x52DB2240,0x009F4200,0x78E74200
FUN_52dc32900,E9_jmp,&LAB_52db1ea0,0x005471F8,5,0x52DB1EA0,0x009F3E60,0x78E73E60
FUN_52dc32900,E9_jmp,&LAB_52db1e80,0x005474E3,5,0x52DB1E80,0x009F3E40,0x78E73E40
FUN_52dc32400,E8_call,FUN_52db2240,0x004A9C0C,5,0x52DB2240,0x009F4200,0x78E74200
FUN_52dc32400,E8_call,FUN_52db2240,0x004A9D28,5,0x52DB2240,0x009F4200,0x78E74200
FUN_52dc32900,E9_jmp,&LAB_52db0db0,0x0063EA8D,5,0x52DB0DB0,0x009F2D70,0x78E72D70
FUN_52dc32900,E9_jmp,&LAB_52db2320,0x00836E8F,6,0x52DB2320,0x009F42E0,0x78E742E0
FUN_52dc32900,E9_jmp,&LAB_52db2310,0x00663784,5,0x52DB2310,0x009F42D0,0x78E742D0
FUN_52dc32900,E9_jmp,&LAB_52db22f0,0x00663BC9,8,0x52DB22F0,0x009F42B0,0x78E742B0
FUN_52dc32900,E9_jmp,&LAB_52db22d0,0x00663C13,8,0x52DB22D0,0x009F4290,0x78E74290
FUN_52dc32400,E8_call,FUN_52db09a0,0x0072E6F5,5,0x52DB09A0,0x009F2960,0x78E72960
FUN_52dc32400,E8_call,&LAB_52db0980,0x00660992,5,0x52DB0980,0x009F2940,0x78E72940
FUN_52dc32900,E9_jmp,&LAB_52db0840,0x0080616E,7,0x52DB0840,0x009F2800,0x78E72800
FUN_52dc32400,E8_call,FUN_52db36f0,0x005A15B2,5,0x52DB36F0,0x009F56B0,0x78E756B0
FUN_52dc32400,E8_call,FUN_52db36f0,0x005A15C4,5,0x52DB36F0,0x009F56B0,0x78E756B0
FUN_52dc32400,E8_call,FUN_52db36d0,0x00594C86,5,0x52DB36D0,0x009F5690,0x78E75690
FUN_52dc32400,E8_call,FUN_52db36d0,0x00594C98,5,0x52DB36D0,0x009F5690,0x78E75690
FUN_52dc32900,E9_jmp,&LAB_52db3750,0x0082A827,6,0x52DB3750,0x009F5710,0x78E75710
FUN_52dc32400,E8_call,FUN_52db3800,0x0080EF00,5,0x52DB3800,0x009F57C0,0x78E757C0
FUN_52dc32400,E8_call,FUN_52db3800,0x0080F2D3,5,0x52DB3800,0x009F57C0,0x78E757C0
FUN_52dc32400,E8_call,FUN_52db3800,0x0080F732,5,0x52DB3800,0x009F57C0,0x78E757C0
FUN_52dc32400,E8_call,FUN_52db3800,0x0080FA4B,5,0x52DB3800,0x009F57C0,0x78E757C0
FUN_52dc32900,E9_jmp,&LAB_52db3f10,0x00815584,9,0x52DB3F10,0x009F5ED0,0x78E75ED0
FUN_52dc32400,E8_call,FUN_52db3ee0,0x0081557D,5,0x52DB3EE0,0x009F5EA0,0x78E75EA0
FUN_52dc32400,E8_call,FUN_52db3ee0,0x00828BD6,5,0x52DB3EE0,0x009F5EA0,0x78E75EA0
FUN_52dc32400,E8_call,FUN_52db3eb0,0x00828D6B,5,0x52DB3EB0,0x009F5E70,0x78E75E70
FUN_52dc32400,E8_call,FUN_52db3e70,0x00578A6F,5,0x52DB3E70,0x009F5E30,0x78E75E30
FUN_52dc32400,E8_call,FUN_52db4460,0x00579031,5,0x52DB4460,0x009F6420,0x78E76420
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B8A,5,0x52DB44C0,0x009F6480,0x78E76480
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B68,5,0x52DB44C0,0x009F6480,0x78E76480
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A6B49,5,0x52DB44C0,0x009F6480,0x78E76480
FUN_52dc32400,E8_call,FUN_52db4400,0x0054E073,5,0x52DB4400,0x009F63C0,0x78E763C0
FUN_52dc32400,E8_call,FUN_52db43e0,0x005A77B7,5,0x52DB43E0,0x009F63A0,0x78E763A0
FUN_52dc32400,E8_call,FUN_52db44c0,0x005A7ED9,5,0x52DB44C0,0x009F6480,0x78E76480
FUN_52dc32400,E8_call,FUN_52db44e0,0x0052FB3D,5,0x52DB44E0,0x009F64A0,0x78E764A0
FUN_52dc32400,E8_call,FUN_52db44e0,0x0052FB1B,5,0x52DB44E0,0x009F64A0,0x78E764A0
FUN_52dc32400,E8_call,FUN_52db4380,0x0052F035,5,0x52DB4380,0x009F6340,0x78E76340
FUN_52dc32400,E8_call,FUN_52db43a0,0x0052EF94,5,0x52DB43A0,0x009F6360,0x78E76360
FUN_52dc32400,E8_call,FUN_52db44e0,0x0055B77D,5,0x52DB44E0,0x009F64A0,0x78E764A0
FUN_52dc32400,E8_call,FUN_52db44e0,0x0055926F,5,0x52DB44E0,0x009F64A0,0x78E764A0
FUN_52dc32400,E8_call,FUN_52db44e0,0x00558FA4,5,0x52DB44E0,0x009F64A0,0x78E764A0
FUN_52dc32400,E8_call,FUN_52db4540,0x00552F2F,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4500,0x0058A5B7,5,0x52DB4500,0x009F64C0,0x78E764C0
FUN_52dc32400,E8_call,FUN_52db4500,0x0054BC4E,5,0x52DB4500,0x009F64C0,0x78E764C0
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B0F0,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B0FF,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B028,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B037,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4430,0x0054E073,5,0x52DB4430,0x009F63F0,0x78E763F0
FUN_52dc32400,E8_call,FUN_52db4540,0x0054B6C1,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4500,0x0054AA26,5,0x52DB4500,0x009F64C0,0x78E764C0
FUN_52dc32400,E8_call,FUN_52db4500,0x0054A9EC,5,0x52DB4500,0x009F64C0,0x78E764C0
FUN_52dc32400,E8_call,FUN_52db4500,0x0054A9CD,5,0x52DB4500,0x009F64C0,0x78E764C0
FUN_52dc32400,E8_call,FUN_52db4540,0x0057BA35,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db43c0,0x0057D1DD,5,0x52DB43C0,0x009F6380,0x78E76380
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A041,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A04C,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0057AEB5,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4520,0x00573FC8,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4520,0x00573F7D,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4560,0x005768C5,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x005768F6,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x0056A85F,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE67,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE84,0,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B1FB,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B20A,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32900,E9_jmp,FUN_52db4bf0,0x0077A684,18,0x52DB4BF0,0x009F6BB0,0x78E76BB0
FUN_52dc32900,E9_jmp,FUN_52db4bd0,0x0077A698,25,0x52DB4BD0,0x009F6B90,0x78E76B90
FUN_52dc32900,E9_jmp,FUN_52db4bb0,0x0077A6B4,21,0x52DB4BB0,0x009F6B70,0x78E76B70
FUN_52dc32900,E9_jmp,FUN_52db4b90,0x0077A6CC,25,0x52DB4B90,0x009F6B50,0x78E76B50
FUN_52dc32900,E9_jmp,&LAB_52db5410,0x00624503,15,0x52DB5410,0x009F73D0,0x78E773D0
FUN_52dc32900,E9_jmp,&LAB_52db5440,0x0065D8CB,9,0x52DB5440,0x009F7400,0x78E77400
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529CFB,5,0x52DB5E80,0x009F7E40,0x78E77E40
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529427,5,0x52DB5E80,0x009F7E40,0x78E77E40
