installer,opcode,handler,engine_va,patch_len,handler_prior_va,handler_rva,handler_current_va
FUN_52dc32400,E8_call,&LAB_52db5e10,0x005284EA,5,0x52DB5E10,0x009F7DD0,0x78E77DD0
FUN_52dc32400,E8_call,&LAB_52db5e00,0x00528D2E,5,0x52DB5E00,0x009F7DC0,0x78E77DC0
FUN_52dc32900,E9_jmp,&LAB_52db8b50,0x005D2B98,5,0x52DB8B50,0x009FAB10,0x78E7AB10
FUN_52dc32900,E9_jmp,&LAB_52db8b30,0x0072D1CD,5,0x52DB8B30,0x009FAAF0,0x78E7AAF0
FUN_52dc32900,E9_jmp,&LAB_52db8af0,0x00726DAE,5,0x52DB8AF0,0x009FAAB0,0x78E7AAB0
FUN_52dc32900,E9_jmp,&LAB_52db8ad0,0x00726DA1,5,0x52DB8AD0,0x009FAA90,0x78E7AA90
FUN_52dc32900,E9_jmp,&LAB_52db8ab0,0x00726D81,5,0x52DB8AB0,0x009FAA70,0x78E7AA70
FUN_52dc32900,E9_jmp,&LAB_52db8a90,0x00726D64,5,0x52DB8A90,0x009FAA50,0x78E7AA50
FUN_52dc32900,E9_jmp,&LAB_52db8a70,0x00726D76,5,0x52DB8A70,0x009FAA30,0x78E7AA30
FUN_52dc32900,E9_jmp,&LAB_52db8a30,0x0072D30B,6,0x52DB8A30,0x009FA9F0,0x78E7A9F0
FUN_52dc32900,E9_jmp,&LAB_52db8a00,0x0072D304,5,0x52DB8A00,0x009FA9C0,0x78E7A9C0
FUN_52dc32900,E9_jmp,&LAB_52db89c0,0x0072D34E,5,0x52DB89C0,0x009FA980,0x78E7A980
FUN_52dc32900,E9_jmp,FUN_52db8ec0,0x007A60DC,14,0x52DB8EC0,0x009FAE80,0x78E7AE80
FUN_52dc32400,E8_call,FUN_52db8ff0,0x005E4DA8,5,0x52DB8FF0,0x009FAFB0,0x78E7AFB0
FUN_52dc32400,E8_call,FUN_52db8fc0,0x005E5510,5,0x52DB8FC0,0x009FAF80,0x78E7AF80
FUN_52dc32900,E9_jmp,&LAB_52db8f20,0x0070AE4F,26,0x52DB8F20,0x009FAEE0,0x78E7AEE0
FUN_52dc32400,E8_call,FUN_52db9230,0x007862F4,5,0x52DB9230,0x009FB1F0,0x78E7B1F0
FUN_52dc32400,E8_call,FUN_52db9200,0x0078635F,5,0x52DB9200,0x009FB1C0,0x78E7B1C0
FUN_52dc32400,E8_call,FUN_52db91a0,0x005E84FD,5,0x52DB91A0,0x009FB160,0x78E7B160
FUN_52dc32900,E9_jmp,&LAB_52db9140,0x005E8773,10,0x52DB9140,0x009FB100,0x78E7B100
FUN_52dc32400,E8_call,FUN_52db9080,0x00785169,5,0x52DB9080,0x009FB040,0x78E7B040
FUN_52dc32400,E8_call,FUN_52db9060,0x0070ADE1,5,0x52DB9060,0x009FB020,0x78E7B020
FUN_52dc32400,E8_call,FUN_52db90b0,0x0078515E,5,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070AD5C,22,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070F555,22,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90d0,0x0070AD18,5,0x52DB90D0,0x009FB090,0x78E7B090
FUN_52dc32400,E8_call,FUN_52db98c0,0x005886F7,5,0x52DB98C0,0x009FB880,0x78E7B880
FUN_52dc32900,E9_jmp,&LAB_52dba3e0,0x006B14F4,5,0x52DBA3E0,0x009FC3A0,0x78E7C3A0
FUN_52dc32900,E9_jmp,&LAB_52dbcad0,0x00778CC9,6,0x52DBCAD0,0x009FEA90,0x78E7EA90
FUN_52dc32900,E9_jmp,&LAB_52dbca20,0x00775927,5,0x52DBCA20,0x009FE9E0,0x78E7E9E0
FUN_52dc32900,E9_jmp,&LAB_52dbc9f0,0x0077597D,8,0x52DBC9F0,0x009FE9B0,0x78E7E9B0
FUN_52dc32900,E9_jmp,&LAB_52dbc9d0,0x00775657,5,0x52DBC9D0,0x009FE990,0x78E7E990
FUN_52dc32900,E9_jmp,&LAB_52dbc9a0,0x007757DB,8,0x52DBC9A0,0x009FE960,0x78E7E960
FUN_52dc32900,E9_jmp,&LAB_52dbc960,0x00778BEE,6,0x52DBC960,0x009FE920,0x78E7E920
FUN_52dc32900,E9_jmp,&LAB_52dbc920,0x007789CE,6,0x52DBC920,0x009FE8E0,0x78E7E8E0
FUN_52dc32900,E9_jmp,&LAB_52dbc8e0,0x007761BE,6,0x52DBC8E0,0x009FE8A0,0x78E7E8A0
FUN_52dc32900,E9_jmp,&LAB_52dbc8b0,0x0077636C,20,0x52DBC8B0,0x009FE870,0x78E7E870
FUN_52dc32900,E9_jmp,&LAB_52dbc870,0x00775E5F,6,0x52DBC870,0x009FE830,0x78E7E830
FUN_52dc32900,E9_jmp,&LAB_52dbc840,0x00775FD0,20,0x52DBC840,0x009FE800,0x78E7E800
FUN_52dc32900,E9_jmp,&LAB_52dbc800,0x00776021,6,0x52DBC800,0x009FE7C0,0x78E7E7C0
FUN_52dc32900,E9_jmp,&LAB_52dbc7d0,0x0077616D,20,0x52DBC7D0,0x009FE790,0x78E7E790
FUN_52dc32900,E9_jmp,&LAB_52dbc780,0x007744E2,5,0x52DBC780,0x009FE740,0x78E7E740
FUN_52dc32900,E9_jmp,FUN_52dbc710,0x0078B220,5,0x52DBC710,0x009FE6D0,0x78E7E6D0
FUN_52dc32900,E9_jmp,&LAB_52db97d0,0x005556A1,10,0x52DB97D0,0x009FB790,0x78E7B790
FUN_52dc32900,E9_jmp,&LAB_52dbf480,0x005E589B,7,0x52DBF480,0x00A01440,0x78E81440
FUN_52dc32900,E9_jmp,&LAB_52dbf460,0x005E592E,6,0x52DBF460,0x00A01420,0x78E81420
FUN_52dc32900,E9_jmp,&LAB_52dbfa10,0x005D4C2D,10,0x52DBFA10,0x00A019D0,0x78E819D0
FUN_52dc32900,E9_jmp,&LAB_52dbf920,0x005E14D3,19,0x52DBF920,0x00A018E0,0x78E818E0
FUN_52dc32900,E9_jmp,&LAB_52dbf8e0,0x005E1779,7,0x52DBF8E0,0x00A018A0,0x78E818A0
FUN_52dc32900,E9_jmp,&LAB_52dbf6e0,0x005E1E7A,5,0x52DBF6E0,0x00A016A0,0x78E816A0
FUN_52dc32900,E9_jmp,&LAB_52dbf6b0,0x005E1938,7,0x52DBF6B0,0x00A01670,0x78E81670
FUN_52dc32900,E9_jmp,&LAB_52dbf670,0x005D141D,7,0x52DBF670,0x00A01630,0x78E81630
FUN_52dc32900,E9_jmp,&LAB_52dbf650,0x005E267E,7,0x52DBF650,0x00A01610,0x78E81610
FUN_52dc32900,E9_jmp,&LAB_52dbf630,0x005E141E,7,0x52DBF630,0x00A015F0,0x78E815F0
FUN_52dc32900,E9_jmp,&LAB_52dc0610,0x005FBFE3,7,0x52DC0610,0x00A025D0,0x78E825D0
FUN_52dc32900,E9_jmp,&LAB_52dc2910,0x005E94C8,7,0x52DC2910,0x00A048D0,0x78E848D0
FUN_52dc32900,E9_jmp,&LAB_52dc28d0,0x005EE9EE,12,0x52DC28D0,0x00A04890,0x78E84890
FUN_52dc32900,E9_jmp,&LAB_52dc2510,0x005FEFEB,10,0x52DC2510,0x00A044D0,0x78E844D0
FUN_52dc32900,E9_jmp,&LAB_52dc24e0,0x005F833C,7,0x52DC24E0,0x00A044A0,0x78E844A0
FUN_52dc32900,E9_jmp,&LAB_52dc24a0,0x005FB317,7,0x52DC24A0,0x00A04460,0x78E84460
FUN_52dc32900,E9_jmp,&LAB_52dc0f00,0x005E7F4D,5,0x52DC0F00,0x00A02EC0,0x78E82EC0
FUN_52dc32900,E9_jmp,&LAB_52dbfce0,0x005C6FD7,5,0x52DBFCE0,0x00A01CA0,0x78E81CA0
FUN_52dc32900,E9_jmp,&LAB_52dbfb70,0x005FF95D,5,0x52DBFB70,0x00A01B30,0x78E81B30
FUN_52dc32900,E9_jmp,&LAB_52dbfbf0,0x005F4A19,6,0x52DBFBF0,0x00A01BB0,0x78E81BB0
FUN_52dc32900,E9_jmp,&LAB_52dbfbd0,0x005F485C,6,0x52DBFBD0,0x00A01B90,0x78E81B90
FUN_52dc32900,E9_jmp,&LAB_52dbfdf0,0x005E4F9C,5,0x52DBFDF0,0x00A01DB0,0x78E81DB0
FUN_52dc32900,E9_jmp,&LAB_52dbfda0,0x005E4EDD,8,0x52DBFDA0,0x00A01D60,0x78E81D60
FUN_52dc32900,E9_jmp,&LAB_52dbfd60,0x005E51B3,5,0x52DBFD60,0x00A01D20,0x78E81D20
FUN_52dc32900,E9_jmp,&LAB_52dbff40,0x005EE6FC,10,0x52DBFF40,0x00A01F00,0x78E81F00
FUN_52dc32900,E9_jmp,&LAB_52dc0350,0x005F21D8,6,0x52DC0350,0x00A02310,0x78E82310
FUN_52dc32900,E9_jmp,&LAB_52dc0330,0x005F20A1,5,0x52DC0330,0x00A022F0,0x78E822F0
FUN_52dc32900,E9_jmp,&LAB_52dc0070,0x005E6F01,8,0x52DC0070,0x00A02030,0x78E82030
FUN_52dc32900,E9_jmp,&LAB_52dc0050,0x005E6DFA,6,0x52DC0050,0x00A02010,0x78E82010
FUN_52dc32900,E9_jmp,&LAB_52dc0030,0x005E7002,7,0x52DC0030,0x00A01FF0,0x78E81FF0
FUN_52dc32900,E9_jmp,&LAB_52dc04d0,0x005FC1E3,10,0x52DC04D0,0x00A02490,0x78E82490
FUN_52dc32900,E9_jmp,&LAB_52dc0550,0x005E98D1,10,0x52DC0550,0x00A02510,0x78E82510
FUN_52dc32900,E9_jmp,&LAB_52dc0680,0x005EFACC,26,0x52DC0680,0x00A02640,0x78E82640
FUN_52dc32900,E9_jmp,&LAB_52dc0760,0x005FDB76,5,0x52DC0760,0x00A02720,0x78E82720
FUN_52dc32900,E9_jmp,&LAB_52dc0740,0x005D55C9,6,0x52DC0740,0x00A02700,0x78E82700
FUN_52dc32900,E9_jmp,&LAB_52dc0720,0x005D3CBE,6,0x52DC0720,0x00A026E0,0x78E826E0
FUN_52dc32900,E9_jmp,&LAB_52dc0eb0,0x005FA449,10,0x52DC0EB0,0x00A02E70,0x78E82E70
FUN_52dc32900,E9_jmp,&LAB_52dc0e80,0x005FA25B,10,0x52DC0E80,0x00A02E40,0x78E82E40
FUN_52dc32900,E9_jmp,&LAB_52dc1020,0x005F2810,6,0x52DC1020,0x00A02FE0,0x78E82FE0
FUN_52dc32900,E9_jmp,&LAB_52dc1450,0x005EEDEE,31,0x52DC1450,0x00A03410,0x78E83410
FUN_52dc32900,E9_jmp,&LAB_52dc1890,0x005FAACD,68,0x52DC1890,0x00A03850,0x78E83850
FUN_52dc32900,E9_jmp,&LAB_52dc1710,0x005FA80A,6,0x52DC1710,0x00A036D0,0x78E836D0
FUN_52dc32900,E9_jmp,&LAB_52dc1550,0x005EF461,7,0x52DC1550,0x00A03510,0x78E83510
FUN_52dc32900,E9_jmp,&LAB_52dc16f0,0x005FA842,6,0x52DC16F0,0x00A036B0,0x78E836B0
FUN_52dc32900,E9_jmp,&LAB_52dc1990,0x005EC418,10,0x52DC1990,0x00A03950,0x78E83950
FUN_52dc32900,E9_jmp,&LAB_52dc2090,0x005F54BA,10,0x52DC2090,0x00A04050,0x78E84050
FUN_52dc32900,E9_jmp,&LAB_52dc2040,0x005F527C,11,0x52DC2040,0x00A04000,0x78E84000
FUN_52dc32900,E9_jmp,&LAB_52dc2410,0x005F4773,18,0x52DC2410,0x00A043D0,0x78E843D0
FUN_52dc32900,E9_jmp,&LAB_52dc2790,0x005F9BEC,6,0x52DC2790,0x00A04750,0x78E84750
FUN_52dc32900,E9_jmp,&LAB_52dc2850,0x005F3A3F,7,0x52DC2850,0x00A04810,0x78E84810
FUN_52dc32400,E8_call,&LAB_52dc4230,0x0047518B,5,0x52DC4230,0x00A061F0,0x78E861F0
FUN_52dc32900,E9_jmp,&LAB_52dc3f50,0x0040E711,5,0x52DC3F50,0x00A05F10,0x78E85F10
FUN_52dc32900,E9_jmp,&LAB_52dc3f70,0x0040E759,5,0x52DC3F70,0x00A05F30,0x78E85F30
FUN_52dc32900,E9_jmp,&LAB_52dc4690,0x006C1C2D,73,0x52DC4690,0x00A06650,0x78E86650
FUN_52dc32900,E9_jmp,&LAB_52dc4660,0x0046EB20,61,0x52DC4660,0x00A06620,0x78E86620
FUN_52dc32900,E9_jmp,&LAB_52dc45f0,0x00401E3E,15,0x52DC45F0,0x00A065B0,0x78E865B0
FUN_52dc32900,E9_jmp,&LAB_52dc4740,0x00413B7F,5,0x52DC4740,0x00A06700,0x78E86700
FUN_52dc32400,E8_call,&LAB_52dc4720,0x00413C38,6,0x52DC4720,0x00A066E0,0x78E866E0
FUN_52dc32400,E8_call,&LAB_52dc4700,0x00413CD8,6,0x52DC4700,0x00A066C0,0x78E866C0
FUN_52dc32400,E8_call,&LAB_52dc46e0,0x00413CF0,5,0x52DC46E0,0x00A066A0,0x78E866A0
FUN_52dc32400,E8_call,&LAB_52dc46c0,0x0040216C,5,0x52DC46C0,0x00A06680,0x78E86680
FUN_52dc32400,E8_call,&LAB_52dc46c0,0x00401842,5,0x52DC46C0,0x00A06680,0x78E86680
FUN_52dc32900,E9_jmp,&LAB_52dc3d80,0x00412661,5,0x52DC3D80,0x00A05D40,0x78E85D40
FUN_52dc32900,E9_jmp,&LAB_52dc3d70,0x004126A7,5,0x52DC3D70,0x00A05D30,0x78E85D30
FUN_52dc32400,E8_call,FUN_52dc37a0,0x004822C1,5,0x52DC37A0,0x00A05760,0x78E85760
FUN_52dc32400,E8_call,&LAB_52dc3750,0x0081DEC5,5,0x52DC3750,0x00A05710,0x78E85710
FUN_52dc32900,E9_jmp,FUN_52dc5ae0,0x007AB554,7,0x52DC5AE0,0x00A07AA0,0x78E87AA0
FUN_52dc32400,E8_call,FUN_52dc4f60,0x0078A300,5,0x52DC4F60,0x00A06F20,0x78E86F20
FUN_52dc32400,E8_call,&LAB_52dc57c0,0x0072FF14,5,0x52DC57C0,0x00A07780,0x78E87780
FUN_52dc32900,E9_jmp,FUN_52dc6cc0,0x007ABAA5,7,0x52DC6CC0,0x00A08C80,0x78E88C80
FUN_52dc32900,E9_jmp,FUN_52dc6be0,0x007AC1A0,5,0x52DC6BE0,0x00A08BA0,0x78E88BA0
FUN_52dc32900,E9_jmp,&LAB_52dc6aa0,0x0071D79B,8,0x52DC6AA0,0x00A08A60,0x78E88A60
FUN_52dc32900,E9_jmp,&LAB_52dc6a80,0x0071D7F5,8,0x52DC6A80,0x00A08A40,0x78E88A40
FUN_52dc32900,E9_jmp,&LAB_52dc6a60,0x0072CD22,5,0x52DC6A60,0x00A08A20,0x78E88A20
FUN_52dc32900,E9_jmp,&LAB_52dc6a40,0x0073016A,5,0x52DC6A40,0x00A08A00,0x78E88A00
FUN_52dc32900,E9_jmp,&LAB_52dc6a20,0x00730542,8,0x52DC6A20,0x00A089E0,0x78E889E0
FUN_52dc32900,E9_jmp,&LAB_52dc6a00,0x007306E8,8,0x52DC6A00,0x00A089C0,0x78E889C0
FUN_52dc32900,E9_jmp,&LAB_52dceb40,0x0073A0F6,7,0x52DCEB40,0x00A10B00,0x78E90B00
FUN_52dc32900,E9_jmp,&LAB_52dceb90,0x0079BD1C,41,0x52DCEB90,0x00A10B50,0x78E90B50
FUN_52dc32900,E9_jmp,&LAB_52dcee10,0x00798441,7,0x52DCEE10,0x00A10DD0,0x78E90DD0
FUN_52dc32900,E9_jmp,&LAB_52dcee00,0x0079B030,7,0x52DCEE00,0x00A10DC0,0x78E90DC0
FUN_52dc32900,E9_jmp,&LAB_52dcedf0,0x007983E7,7,0x52DCEDF0,0x00A10DB0,0x78E90DB0
FUN_52dc32900,E9_jmp,&LAB_52dcede0,0x0079AFAA,7,0x52DCEDE0,0x00A10DA0,0x78E90DA0
FUN_52dc32900,E9_jmp,&LAB_52dcedd0,0x0079AEF3,7,0x52DCEDD0,0x00A10D90,0x78E90D90
FUN_52dc32900,E9_jmp,&LAB_52dcedc0,0x0079A992,7,0x52DCEDC0,0x00A10D80,0x78E90D80
FUN_52dc32400,E8_call,FUN_52dce9e0,0x0079809A,5,0x52DCE9E0,0x00A109A0,0x78E909A0
FUN_52dc32900,E9_jmp,&LAB_52dcf070,0x00731E4C,7,0x52DCF070,0x00A11030,0x78E91030
FUN_52dc32900,E9_jmp,&LAB_52dcf030,0x00731BB9,6,0x52DCF030,0x00A10FF0,0x78E90FF0
FUN_52dc32900,E9_jmp,&LAB_52dd0410,0x0071AAD1,12,0x52DD0410,0x00A123D0,0x78E923D0
FUN_52dc32900,E9_jmp,&LAB_52dd03e0,0x00689343,6,0x52DD03E0,0x00A123A0,0x78E923A0
FUN_52dc32400,E8_call,FUN_52dd0370,0x007925A1,5,0x52DD0370,0x00A12330,0x78E92330
FUN_52dc32400,E8_call,FUN_52dd0370,0x00790CED,5,0x52DD0370,0x00A12330,0x78E92330
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736E47,10,0x52DD1100,0x00A130C0,0x78E930C0
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736E61,5,0x52DD10F0,0x00A130B0,0x78E930B0
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736F4B,10,0x52DD1100,0x00A130C0,0x78E930C0
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736F68,5,0x52DD10F0,0x00A130B0,0x78E930B0
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736B4F,10,0x52DD1100,0x00A130C0,0x78E930C0
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736B69,5,0x52DD10F0,0x00A130B0,0x78E930B0
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736C53,10,0x52DD1100,0x00A130C0,0x78E930C0
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736C70,5,0x52DD10F0,0x00A130B0,0x78E930B0
FUN_52dc32900,E9_jmp,&LAB_52dd1200,0x007C0C6C,6,0x52DD1200,0x00A131C0,0x78E931C0
FUN_52dc32900,E9_jmp,&LAB_52dd11e0,0x007C0EF8,6,0x52DD11E0,0x00A131A0,0x78E931A0
FUN_52dc32900,E9_jmp,&LAB_52dd11c0,0x007C09FC,6,0x52DD11C0,0x00A13180,0x78E93180
FUN_52dc32900,E9_jmp,&LAB_52dd11a0,0x007C0768,6,0x52DD11A0,0x00A13160,0x78E93160
FUN_52dc32900,E9_jmp,&LAB_52dd1180,0x007C04F4,6,0x52DD1180,0x00A13140,0x78E93140
FUN_52dc32900,E9_jmp,&LAB_52dd1230,0x00687D1A,6,0x52DD1230,0x00A131F0,0x78E931F0
FUN_52dc32900,E9_jmp,&LAB_52dd1290,0x006CA548,8,0x52DD1290,0x00A13250,0x78E93250
FUN_52dc32400,E8_call,FUN_52dd4f70,0x0066E001,5,0x52DD4F70,0x00A16F30,0x78E96F30
FUN_52dc32400,E8_call,FUN_52dd19e0,0x0078237F,5,0x52DD19E0,0x00A139A0,0x78E939A0
FUN_52dc32900,E9_jmp,FUN_52dd12e0,0x00708238,6,0x52DD12E0,0x00A132A0,0x78E932A0
FUN_52dc32400,E8_call,FUN_52dd1d90,0x0043E783,5,0x52DD1D90,0x00A13D50,0x78E93D50
FUN_52dc32900,E9_jmp,&LAB_52dd1df0,0x0068AA41,6,0x52DD1DF0,0x00A13DB0,0x78E93DB0
FUN_52dc32400,E8_call,FUN_52dd2a90,0x0083A948,5,0x52DD2A90,0x00A14A50,0x78E94A50
FUN_52dc32400,E8_call,FUN_52dd2a30,0x007537FC,5,0x52DD2A30,0x00A149F0,0x78E949F0
FUN_52dc32400,E8_call,FUN_52dd2a10,0x007915E1,5,0x52DD2A10,0x00A149D0,0x78E949D0
FUN_52dc32400,E8_call,FUN_52dd2880,0x00790E16,5,0x52DD2880,0x00A14840,0x78E94840
FUN_52dc32400,E8_call,FUN_52dd40f0,0x0074B6DD,5,0x52DD40F0,0x00A160B0,0x78E960B0
FUN_52dc32400,E8_call,&LAB_52dd4050,0x0074B5A7,5,0x52DD4050,0x00A16010,0x78E96010
FUN_52dc32900,E9_jmp,&LAB_52dd4220,0x0083EE2A,9,0x52DD4220,0x00A161E0,0x78E961E0
FUN_52dc32900,E9_jmp,&LAB_52dd41c0,0x0083EE54,0,0x52DD41C0,0x00A16180,0x78E96180
FUN_52dc32400,E8_call,FUN_52dd5040,0x005C9BAB,5,0x52DD5040,0x00A17000,0x78E97000
FUN_52dc32400,E8_call,FUN_52dd6370,0x006CBA28,5,0x52DD6370,0x00A18330,0x78E98330
FUN_52dc32400,E8_call,FUN_52dd63b0,0x004DD734,5,0x52DD63B0,0x00A18370,0x78E98370
FUN_52dc32400,E8_call,FUN_52dd63b0,0x004DC211,5,0x52DD63B0,0x00A18370,0x78E98370
FUN_52dc32400,E8_call,FUN_52de5f60,0x0077FDFD,5,0x52DE5F60,0x00A27F20,0x78EA7F20
FUN_52dc32400,E8_call,FUN_52de5e60,0x007BCCDA,5,0x52DE5E60,0x00A27E20,0x78EA7E20
FUN_52dc32400,E8_call,FUN_52de5e60,0x007BD3A0,5,0x52DE5E60,0x00A27E20,0x78EA7E20
